book_id,book_title,author,joy,sadness,fear,surprise,anger,disgust,average_sentiment
365,Dirk Gently's Holistic Detective Agency,Douglas Adams,0.292555670440197,0.061764458939433095,0.10490000154823065,0.41528645157814026,0.06236823201179505,0.06312516294419765,0.1667
378,The Phantom Tollbooth,Norton Juster,0.2864330094307661,0.0592460494954139,0.09781787847168744,0.44302409514784813,0.0748297804966569,0.03864917752798647,0.1667
400,Libra,Don DeLillo,0.12978679779917002,0.21238045319914817,0.22071044519543648,0.23657576292753218,0.11259461715817451,0.0879519134759903,0.1667
402,Mao II,Don DeLillo,0.08976658508181572,0.06988096758723258,0.2862654373049736,0.36796655356884,0.08868542611598969,0.09743505865335464,0.1667
408,The Names,Don DeLillo,0.11895434123774369,0.0883834498624007,0.09485404193401337,0.5625793437163035,0.08562666177749634,0.04960217451055845,0.1667
409,Against the Day,Thomas Pynchon,0.2837251778692007,0.08949861023575068,0.1760127656161785,0.2128758393228054,0.13255019765347242,0.10533739812672138,0.1667
413,Mason & Dixon,Thomas Pynchon,0.4542704902589321,0.17466705092228949,0.05667319167405367,0.21000547632575034,0.06544683631509543,0.03893696148879826,0.1667
415,Gravity’s Rainbow,Thomas Pynchon,0.08829779922962189,0.20984004717320204,0.08586649224162102,0.3720520995557308,0.10637503024190664,0.1375685129314661,0.1667
421,The White Album,Joan Didion,0.1603250987827778,0.10892247525043786,0.06873297970741987,0.3909255638718605,0.142152464017272,0.12894138414412737,0.1667
422,A Book of Common Prayer,Joan Didion,0.4322434936960538,0.15364692670603594,0.03150354946653048,0.2827428380648295,0.02834039305647214,0.07152283874650796,0.1667
